session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
v8jw39uu,32,7yty41jr,3,wsd_app,FirstWP,1655115219,1,0,1
v8jw39uu,35,17ajo6f1,3,wsd_app,FirstWP,1655115219,1,0,1
v8jw39uu,20,b1cz8e00,4,wsd_app,GeneralIntro,1655115220,1,0,0
v8jw39uu,40,kmdosfa1,1,intro_matcher,Intro,1655115222,1,0,0
v8jw39uu,6,wusx1aqt,4,wsd_app,GeneralIntro,1655115222,1,0,0
v8jw39uu,45,47ztl1u0,1,intro_matcher,Intro,1655115223,1,0,0
v8jw39uu,38,n0kgqe99,1,intro_matcher,Intro,1655115223,1,0,0
v8jw39uu,38,n0kgqe99,2,matcher,FirstWP,1655115223,1,0,1
v8jw39uu,45,47ztl1u0,2,matcher,FirstWP,1655115223,1,0,1
v8jw39uu,40,kmdosfa1,2,matcher,FirstWP,1655115223,1,0,1
v8jw39uu,11,tw74rorl,1,intro_matcher,Intro,1655115223,1,0,0
v8jw39uu,26,uacdg9di,1,intro_matcher,Intro,1655115224,1,0,0
v8jw39uu,24,a9ef39uv,4,wsd_app,GeneralIntro,1655115224,1,0,0
v8jw39uu,9,ptwqybi2,6,wsd_app,Decision,1655115224,1,0,0
v8jw39uu,13,pvtljswc,5,wsd_app,Introduction,1655115224,1,0,0
v8jw39uu,40,kmdosfa1,3,wsd_app,FirstWP,1655115224,1,0,1
v8jw39uu,38,n0kgqe99,3,wsd_app,FirstWP,1655115224,1,0,1
v8jw39uu,45,47ztl1u0,3,wsd_app,FirstWP,1655115224,1,0,1
v8jw39uu,16,qle1y5e1,6,wsd_app,Decision,1655115225,1,0,0
v8jw39uu,36,kzlwe574,1,intro_matcher,Intro,1655115225,1,0,0
v8jw39uu,11,tw74rorl,2,matcher,FirstWP,1655115225,1,0,1
v8jw39uu,36,kzlwe574,2,matcher,FirstWP,1655115225,1,0,1
v8jw39uu,26,uacdg9di,2,matcher,FirstWP,1655115225,1,0,1
v8jw39uu,43,ckgsrx9v,1,intro_matcher,Intro,1655115225,1,0,0
v8jw39uu,27,drll18h9,4,wsd_app,GeneralIntro,1655115225,1,0,0
